Tanggal,total curah hujan,delay
43221,0,17
43222,41,59
43223,0,28
43224,1,25
43225,5.6,23
43226,9,47
43227,23.5,27
43228,2.8,51
43229,35.2,45
43230,10.5,39
43231,1.2,0
43232,2.8,58
43233,8.4,65
43234,0.5,60
43235,42,9
43236,19.4,0
43237,4.2,0
43238,6.9,4
43239,42.5,0
43240,3.3,57
43241,54.4,0
43242,55.1,0
43243,4.7,12
43244,47.3,0
43245,1.5,0
43246,27.5,6
43247,6.6,0
43248,7.6,0
43249,1,0
43250,1.2,49
43251,43.3,4
43252,0,0
43253,1.8,0
43254,0,0
43255,1.2,45
43256,0,0
43257,0,54
43258,1.3,0
43259,0,87
43260,50.5,28
43261,4.8,71
43262,0,42
43263,0,50
43264,0,60
43265,0,28
43266,0,17
43267,29.1,18
43268,0,47
43269,0,36
43270,1,14
43271,28.4,56
43272,0,66
43273,0,80
43274,8.8,80
43275,23.2,85
43276,69.1,1
43277,41.9,39
43278,28.2,37
43279,0,0
43280,13.5,76
43281,1.8,20
43282,37,35
43283,4,25
43284,10.1,89
43285,11.4,51
43286,0,34
43287,0,95
43288,0,43
43289,0,43
43290,0,0
43291,0,0
43292,0,24
43293,0,4
43294,0,15
43295,0,43
43296,0,0
43297,0,37
43298,0,30
43299,0,0
43300,0,27
43301,0,40
43302,47,15
43303,0,22
43304,0.3,32
43305,0,0
43306,0,19
43307,12.4,19
43308,0,42
43309,35.8,6
43310,36,0
43311,0.5,58
43312,18.4,19
43313,4.3,29
43314,8.4,33
43315,0,31
43316,0,18
43317,0,42
43318,0,8
43319,0,2
43320,0,46
43321,6.5,33
43322,1.4,34
43323,27.3,40
43324,18,17
43325,0.4,4
43326,0,23
43327,0,3
43328,0,31
43329,0,34
43330,0,23
43331,0,0
43332,0,9
43333,0,16
43334,0,35
43335,0,11
43336,0,19
43337,0,11
43338,1.8,8
43339,0,36
43340,5,16
43341,5,12
43342,9.4,36
43343,1.4,24
43344,23.2,7
43345,9,12
43346,17.2,11
43347,0,44
43348,17,1
43349,2.1,49
43350,0,26
43351,1.5,45
43352,45.1,7
43353,0.6,29
43354,49.9,18
43355,0,3
43356,0,26
43357,0,35
43358,0,11
43359,0,33
43360,0,30
43361,1,41
43362,14.1,2
43363,1.1,48
43364,21.4,39
43365,0,0
43366,18.6,0
43367,7,3
43368,11.6,13
43369,38.2,46
43370,4.8,0
43371,0.1,31
43372,5,0
43373,29.5,29
43374,4.8,37
43375,24.1,4
43376,32.5,17
43377,9,11
43378,0,16
43379,0,22
43380,24.4,15
43381,0,0
43382,3.9,0
43383,11,21
43384,11,32
43385,82.1,0
43386,71.7,56
43387,73.6,56
43388,24,43
43389,13.6,32
43390,13,0
43391,0,19
43392,6.1,24
43393,13.3,47
43394,26.2,29
43395,19,20
43396,6,23
43397,7,0
43398,36.4,87
43399,44.2,23
43400,8.6,0
43401,36.5,21
43402,15.4,30
43403,20,24
43404,56.8,45
43405,92.7,52
43406,19.4,22
43407,3.9,0
43408,40.6,25
43409,0.5,0
43410,26,0
43411,5.9,41
43412,75.2,8
43413,19.1,43
43414,30.4,40
43415,51.5,64
43416,56.5,21
43417,11.2,0
43418,48,0
43419,46.1,0
43420,7,0
43421,41.2,0
43422,0.6,34
43423,58.2,0
43424,10.2,41
43425,44.6,0
43426,20.8,0
43427,40.1,27
43428,1.2,0
43429,1.3,22
43430,9.8,0
43431,62.8,0
43432,4.8,0
43433,37.4,12
43434,38.5,47
43435,4.5,13
43436,23.6,23
43437,2.1,0
43438,37.7,6
43439,93.6,13
43440,12.5,10
43441,53.6,21
43442,10.6,0
43443,13.3,54
43444,0,0
43445,37,0
43446,66,37
43447,18.2,0
43448,41,34
43449,91.9,13
43450,29,0
43451,3.5,24
43452,59.3,0
43453,6.3,13
43454,7.5,20
43455,1.9,46
43456,0,23
43457,0,29
43458,0,14
43459,0,3
43460,4.7,11
43461,1.5,25
43462,13.2,4
43463,13.7,0
43464,26,11
43465,2.5,32
43466,3.7,0
43467,14.5,35
43468,28.4,17
43469,0,0
43470,3,3
43471,42,63
43472,5.2,103
43473,33.4,0
43474,20,52
43475,29.6,34
43476,17.2,66
43477,3.5,0
43478,22,12
43479,88.1,0
43480,14.2,0
43481,3.3,0
43482,0,0
43483,4.5,0
43484,8.8,0
43485,14.7,0
43486,17.6,0
43487,14.4,27
43488,37.3,38
43489,0.4,0
43490,5.4,43
43491,0.4,0
43492,8.6,0
43493,0.2,2
43494,0,0
43495,64.3,8
43496,26.2,0
43497,3,24
43498,4.3,1
43499,4.7,0
43500,0.7,0
43501,31.9,0
43502,1,29
43503,13.4,0
43504,0,0
43505,10.3,0
43506,33.9,67
43507,47.6,15
43508,27.3,3
43509,12.7,8
43510,23.8,0
43511,45.7,18
43512,12,0
43513,63,9
43514,40.6,0
43515,29.4,28
43516,11.5,0
43517,34,11
43518,17.4,0
43519,25.3,31
43520,13.6,0
43521,44.5,15
43522,10.2,0
43523,0,23
43524,18.5,17
43525,56.1,0
43526,68.8,0
43527,9.8,0
43528,2.7,26
43529,0,0
43530,14.9,3
43531,19.3,0
43532,0.5,0
43533,6.7,0
43534,11.6,29
43535,18.9,0
43536,1.7,16
43537,0.2,0
43538,0,23
43539,24,3
43540,30.9,0
43541,13.2,0
43542,2.4,25
43543,0,0
43544,27.7,0
43545,2.6,0
43546,2,0
43547,0,0
43548,2.6,0
43549,0,0
43550,17.2,9
43551,35.4,0
43552,5.8,0
43553,10.2,0
43554,22.6,0
43555,5.1,24
